RemoteRepoName,LocalRepoName,RemoteRepoURL,TargetDirectory
vs.ide,ide,https://github.com/ATECoder/vs.ide.git,lib\vs\core
dn.vi.lite,lite,https://github.com/ATECoder/dn.vi.lite.git,lib\vs\vi
